ticker,date,open,high,low,close,volume,closeadjusted
IDTL.UK,2/12/2015,4.0831,4.0831,4.0574,4.0574,351852,4.0574
IDTL.UK,3/12/2015,4.0413,4.0565,3.9913,4.0565,1212066,4.0565
IDTL.UK,4/12/2015,3.9776,3.9776,3.9776,3.9776,390079,3.9776
IDTL.UK,7/12/2015,4.0295,4.0587,4.0295,4.0587,652533,4.0587
IDTL.UK,8/12/2015,4.056,4.0717,4.056,4.0717,243922,4.0717
IDTL.UK,9/12/2015,4.0505,4.0505,4.0324,4.0324,285033,4.0324
IDTL.UK,10/12/2015,4.0524,4.055,4.0524,4.055,136143,4.055
IDTL.UK,11/12/2015,4.0744,4.099,4.0735,4.099,464874,4.099
IDTL.UK,14/12/2015,4.1048,4.1048,4.0883,4.0883,173539,4.0883
IDTL.UK,15/12/2015,4.0763,4.0763,4.0258,4.032,16875,4.032
IDTL.UK,16/12/2015,4.0426,4.0426,4.0209,4.0209,68722,4.0209
IDTL.UK,17/12/2015,4.079,4.079,4.0488,4.0488,561073,4.0488
IDTL.UK,18/12/2015,4.0915,4.0915,4.0915,4.0915,3347,4.0915
IDTL.UK,22/12/2015,4.0977,4.1198,4.0864,4.0864,228936,4.0864
IDTL.UK,23/12/2015,4.0967,4.0967,4.0967,4.0967,6143,4.0967
IDTL.UK,24/12/2015,4.0444,4.0444,4.0444,4.0444,,4.0444
IDTL.UK,29/12/2015,4.0816,4.0816,4.0368,4.0368,240609,4.0368
IDTL.UK,30/12/2015,4.0062,4.0062,3.9963,3.9987,657609,3.9987
IDTL.UK,31/12/2015,4.0159,4.0159,4.0149,4.0149,445,4.0149
IDTL.UK,4/01/2016,4.0559,4.0848,4.0559,4.0848,96114,4.0848
IDTL.UK,5/01/2016,4.0559,4.0559,4.0329,4.0329,795797,4.0329
IDTL.UK,6/01/2016,4.0763,4.0833,4.0718,4.082,819999,4.082
IDTL.UK,7/01/2016,4.1082,4.109,4.0656,4.0656,189606,4.0656
IDTL.UK,8/01/2016,4.1015,4.1015,4.1015,4.1015,,4.1015
IDTL.UK,11/01/2016,4.0726,4.0837,4.0524,4.0825,193722,4.0825
IDTL.UK,12/01/2016,4.1113,4.1113,4.1113,4.1113,,4.1113
IDTL.UK,13/01/2016,4.1189,4.1409,4.108,4.1409,142599,4.1409
IDTL.UK,14/01/2016,4.1395,4.1573,4.1395,4.157,310144,4.157
IDTL.UK,15/01/2016,4.1606,4.1863,4.1606,4.1779,90204,4.1779
IDTL.UK,18/01/2016,4.1747,4.1747,4.1747,4.1747,,4.1747
IDTL.UK,19/01/2016,4.1846,4.1846,4.1809,4.1809,252223,4.1809
IDTL.UK,20/01/2016,4.2288,4.2661,4.2218,4.2542,1739992,4.2542
IDTL.UK,21/01/2016,4.2271,4.2591,4.2115,4.2115,909363,4.2115
IDTL.UK,22/01/2016,4.1633,4.1633,4.1633,4.1633,756,4.1633
IDTL.UK,25/01/2016,4.2053,4.2068,4.2053,4.2068,191228,4.2068
IDTL.UK,26/01/2016,4.2358,4.2358,4.2059,4.2059,30063,4.2059
IDTL.UK,27/01/2016,4.2155,4.2155,4.1901,4.1907,347891,4.1907
IDTL.UK,28/01/2016,4.203,4.22,4.1916,4.22,39652,4.22
IDTL.UK,29/01/2016,4.2429,4.2642,4.2288,4.2638,235940,4.2638
IDTL.UK,1/02/2016,4.228,4.2379,4.2275,4.2275,177459,4.2275
IDTL.UK,2/02/2016,4.2598,4.2954,4.2573,4.2914,708479,4.2914
IDTL.UK,3/02/2016,4.2634,4.328,4.2634,4.3025,1575476,4.3025
IDTL.UK,4/02/2016,4.2825,4.2825,4.2825,4.2825,,4.2825
IDTL.UK,5/02/2016,4.2839,4.2884,4.2767,4.2767,533419,4.2767
IDTL.UK,8/02/2016,4.328,4.3811,4.3132,4.3781,1545421,4.3781
IDTL.UK,9/02/2016,4.4338,4.4338,4.3795,4.3858,159278,4.3858
IDTL.UK,10/02/2016,4.3825,4.4094,4.3825,4.4094,2191322,4.4094
IDTL.UK,11/02/2016,4.4855,4.5132,4.4634,4.4879,1309068,4.4879
IDTL.UK,12/02/2016,4.439,4.4524,4.3725,4.3725,620904,4.3725
IDTL.UK,15/02/2016,4.3795,4.3795,4.3678,4.3678,76219,4.3678
IDTL.UK,16/02/2016,4.3574,4.3815,4.3513,4.3513,216551,4.3513
IDTL.UK,17/02/2016,4.3034,4.3105,4.2973,4.2973,215513,4.2973
IDTL.UK,18/02/2016,4.3415,4.3634,4.3124,4.3397,323124,4.3397
IDTL.UK,19/02/2016,4.3895,4.4038,4.3601,4.3933,1064529,4.3933
IDTL.UK,22/02/2016,4.3805,4.3805,4.3699,4.3699,5243,4.3699
IDTL.UK,23/02/2016,4.3805,4.3958,4.3611,4.3875,88778,4.3875
IDTL.UK,24/02/2016,4.4126,4.4548,4.4126,4.4436,29686,4.4436
IDTL.UK,25/02/2016,4.4089,4.4169,4.3815,4.4061,1028060,4.4061
IDTL.UK,26/02/2016,4.3912,4.3912,4.3548,4.3603,621061,4.3603
IDTL.UK,29/02/2016,4.3805,4.384,4.3549,4.3583,382388,4.3583
IDTL.UK,1/03/2016,4.3549,4.3776,4.3105,4.3105,1490787,4.3105
IDTL.UK,2/03/2016,4.2839,4.306,4.2813,4.2944,2856408,4.2944
IDTL.UK,3/03/2016,4.3166,4.3275,4.3092,4.3275,767690,4.3275
IDTL.UK,4/03/2016,4.3503,4.3503,4.283,4.283,349563,4.283
IDTL.UK,7/03/2016,4.2981,4.306,4.2847,4.2973,1142233,4.2973
IDTL.UK,8/03/2016,4.3583,4.3805,4.3583,4.3603,111733,4.3603
IDTL.UK,9/03/2016,4.3432,4.3432,4.3197,4.3197,1262422,4.3197
IDTL.UK,10/03/2016,4.328,4.328,4.2573,4.2855,2475604,4.2855
IDTL.UK,11/03/2016,4.328,4.328,4.2696,4.2696,187527,4.2696
IDTL.UK,14/03/2016,4.2793,4.2989,4.2564,4.2803,463664,4.2803
IDTL.UK,15/03/2016,4.2732,4.2869,4.2732,4.2869,3083,4.2869
IDTL.UK,16/03/2016,4.2927,4.3034,4.2696,4.2696,66532,4.2696
IDTL.UK,17/03/2016,4.3228,4.3247,4.3214,4.3214,510224,4.3214
IDTL.UK,18/03/2016,4.3362,4.3362,4.3148,4.3166,16819,4.3166
IDTL.UK,21/03/2016,4.2901,4.3327,4.2821,4.3011,7165,4.3011
IDTL.UK,22/03/2016,4.3044,4.3194,4.2989,4.3136,47004,4.3136
IDTL.UK,23/03/2016,4.2963,4.3148,4.2853,4.3144,469747,4.3144
IDTL.UK,24/03/2016,4.3469,4.3715,4.3337,4.3337,561669,4.3337
IDTL.UK,29/03/2016,4.3549,4.3805,4.3549,4.3583,425818,4.3583
IDTL.UK,30/03/2016,4.3725,4.3725,4.3184,4.3237,166208,4.3237
IDTL.UK,31/03/2016,4.3603,4.3699,4.3423,4.3699,880672,4.3699
IDTL.UK,1/04/2016,4.353,4.3848,4.353,4.3725,1489462,4.3725
IDTL.UK,4/04/2016,4.3825,4.3845,4.3805,4.384,85702,4.384
IDTL.UK,5/04/2016,4.4221,4.4412,4.4221,4.4226,207505,4.4226
IDTL.UK,6/04/2016,4.4188,4.4188,4.3959,4.4023,574828,4.4023
IDTL.UK,7/04/2016,4.407,4.4501,4.407,4.439,640301,4.439
IDTL.UK,8/04/2016,4.439,4.439,4.4169,4.4169,227811,4.4169
IDTL.UK,11/04/2016,4.4329,4.4329,4.4008,4.4169,23572,4.4169
IDTL.UK,12/04/2016,4.4204,4.4204,4.3918,4.3918,296249,4.3918
IDTL.UK,13/04/2016,4.3735,4.3894,4.3735,4.3867,143396,4.3867
IDTL.UK,14/04/2016,4.4028,4.4028,4.3754,4.3754,26894,4.3754
IDTL.UK,15/04/2016,4.3912,4.4274,4.3912,4.4193,620910,4.4193
IDTL.UK,18/04/2016,4.4338,4.439,4.3825,4.3825,704437,4.3825
IDTL.UK,19/04/2016,4.3725,4.3776,4.3725,4.3776,1243,4.3776
IDTL.UK,20/04/2016,4.4197,4.4197,4.3989,4.3989,7823,4.3989
IDTL.UK,21/04/2016,4.3353,4.3378,4.3077,4.3077,1033788,4.3077
IDTL.UK,22/04/2016,4.328,4.328,4.3053,4.3053,234072,4.3053
IDTL.UK,25/04/2016,4.3148,4.3148,4.2927,4.2927,251042,4.2927
IDTL.UK,26/04/2016,4.3016,4.3016,4.2625,4.2625,214466,4.2625
IDTL.UK,27/04/2016,4.276,4.2927,4.2741,4.2788,178391,4.2788
